,Feature,Descriptor,Sentiment,Freq of Feature
0,professional,staff,1,3
0,professional,medic,1,3
0,people,recommended,2,10
0,people,suggest,1,10
0,people,threatens,1,10
0,people,threatens,1,10
0,people,threatens,1,10
0,people,ask,1,10
0,people,kept,1,10
0,kind,recommended,2,2
0,reviews,suggest,1,6
0,place,clean,2,6
0,place,experience,1,6
0,place,waste,0,6
0,place,check,2,6
0,clean,place,1,1
0,good,officerattitude,1,3
0,experience,place,1,4
0,experience,had,1,4
0,u,have,1,2
0,u,have,1,2
0,complete,rest,1,3
0,rest,complete,2,2
0,rest,nice,2,2
0,mei,stood,1,1
0,scan,i,1,1
0,scan,the,1,1
0,dontbother,end,1,1
0,end,dontbother,1,1
0,realise,that,1,1
0,realise,youre,1,1
0,youre,realise,1,1
0,person,care,2,3
0,fair,which,1,1
0,choice,have,1,1
0,waste,place,1,3
0,waste,waiting,1,3
0,waste,more,1,3
0,time,takes,1,5
0,time,takes,1,5
0,time,travel,1,5
0,time,travel,1,5
0,nsf,need,1,4
0,nsf,cool,2,4
0,staff,professional,2,11
0,staff,keep,1,11
0,staff,keep,1,11
0,staff,rude,0,11
0,staff,impatient,0,11
0,staff,expect,1,11
0,staff,ok,1,11
0,staff,nice,2,11
0,staff,friendly,2,11
0,bad,its,1,8
0,bad,canteenb,1,8
0,bad,canteenb,1,8
0,help,me,2,2
0,help,ask,1,2
0,guards,doing,1,2
0,guards,ask,1,2
0,job,doing,1,1
0,stuff,do,1,1
0,suppose,which,1,1
0,suppose,they,1,1
0,keeps,who,1,1
0,tone,changing,1,2
0,tone,use,1,2
0,talks,she,1,1
0,mask,removes,1,1
0,expressions,show,1,1
0,rude,staff,1,4
0,impatient,staff,1,1
0,times,recommend,2,1
0,cmpb,recommend,2,2
0,sent,son,1,1
0,son,sent,1,2
0,son,got,1,2
0,son,sent,1,2
0,son,got,1,2
0,drive,we,1,1
0,train,army,1,1
0,army,train,1,1
0,directions,seen,1,1
0,process,expect,1,1
0,take,hours,1,1
0,ok,staff,1,2
0,ok,staff,1,2
0,tio,vocationmo,1,1
0,probably,this,1,1
0,others,saying,1,2
0,conditions,declare,1,1
0,specialistletter,get,1,1
0,ask,guards,1,2
0,ask,question,1,2
0,ask,help,1,2
0,ask,people,1,2
0,ask,question,1,2
0,ask,taiji,1,2
0,question,ask,1,2
0,question,ask,1,2
0,ignore,they,1,1
0,nice,rest,1,2
0,nice,staff,1,2
0,friendly,staff,1,2
0,great,trip,1,2
0,medic,professional,2,1
0,check,place,1,3
0,patience,understand,1,2
0,bully,me,2,1
0,taiji,ask,1,1
0,share,i,1,1
0,share,opinion,1,1
0,opinion,share,2,1
0,varies,it,1,1
0,trip,great,2,1
0,sessions,screening,1,1
0,inconvenientlocation,answer,1,1
0,officerattitude,good,2,1
0,use,he,1,1
0,use,tone,1,1
0,cool,nsf,1,1
0,ziyuan,writer,1,1
0,writer,ziyuan,1,1
0,thing,discussing,1,1
0,whats,discussing,1,1
0,canteenb,bad,0,1
0,attitude,have,1,1
